Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.0,5,150,0.2,56.0
1,1.0,5,150,0.2,56.0
2,0.1507936507936507,5,150,0.2,56.0
3,0.0714285714285714,5,150,0.2,56.0
4,0.1157894736842105,5,150,0.2,56.0
5,0.2222222222222222,5,150,0.2,56.0
6,0.04,5,150,0.2,56.0
7,0.0109890109890109,5,150,0.2,56.0
8,0.0,5,150,0.2,56.0
9,0.0,5,150,0.2,56.0
0,0.109375,10,150,0.2,56.0
1,0.996078431372549,10,150,0.2,56.0
2,0.365079365079365,10,150,0.2,56.0
3,0.1530612244897959,10,150,0.2,56.0
4,0.5157894736842106,10,150,0.2,56.0
5,0.3131313131313131,10,150,0.2,56.0
6,0.1466666666666666,10,150,0.2,56.0
7,0.0989010989010989,10,150,0.2,56.0
8,0.0161290322580645,10,150,0.2,56.0
9,0.0,10,150,0.2,56.0
0,0.34375,15,150,0.2,56.0
1,0.9725490196078432,15,150,0.2,56.0
2,0.5238095238095238,15,150,0.2,56.0
3,0.2551020408163265,15,150,0.2,56.0
4,0.7789473684210526,15,150,0.2,56.0
5,0.2828282828282828,15,150,0.2,56.0
6,0.2533333333333333,15,150,0.2,56.0
7,0.5714285714285714,15,150,0.2,56.0
8,0.032258064516129,15,150,0.2,56.0
9,0.0151515151515151,15,150,0.2,56.0
0,0.4375,20,150,0.2,56.0
1,0.9686274509803922,20,150,0.2,56.0
2,0.5873015873015873,20,150,0.2,56.0
3,0.3877551020408163,20,150,0.2,56.0
4,0.7789473684210526,20,150,0.2,56.0
5,0.3636363636363636,20,150,0.2,56.0
6,0.1866666666666666,20,150,0.2,56.0
7,0.6043956043956044,20,150,0.2,56.0
8,0.032258064516129,20,150,0.2,56.0
9,0.0303030303030303,20,150,0.2,56.0
0,0.5,25,150,0.2,56.0
1,0.9803921568627452,25,150,0.2,56.0
2,0.6507936507936508,25,150,0.2,56.0
3,0.4897959183673469,25,150,0.2,56.0
4,0.8105263157894737,25,150,0.2,56.0
5,0.494949494949495,25,150,0.2,56.0
6,0.16,25,150,0.2,56.0
7,0.5604395604395604,25,150,0.2,56.0
8,0.032258064516129,25,150,0.2,56.0
9,0.0757575757575757,25,150,0.2,56.0
0,0.578125,30,150,0.2,56.0
1,0.9803921568627452,30,150,0.2,56.0
2,0.6507936507936508,30,150,0.2,56.0
3,0.4795918367346938,30,150,0.2,56.0
4,0.8526315789473684,30,150,0.2,56.0
5,0.4848484848484848,30,150,0.2,56.0
6,0.2133333333333333,30,150,0.2,56.0
7,0.6043956043956044,30,150,0.2,56.0
8,0.064516129032258,30,150,0.2,56.0
9,0.1363636363636363,30,150,0.2,56.0
0,0.578125,35,150,0.2,56.0
1,0.8392156862745098,35,150,0.2,56.0
2,0.7142857142857143,35,150,0.2,56.0
3,0.4897959183673469,35,150,0.2,56.0
4,0.8736842105263158,35,150,0.2,56.0
5,0.5050505050505051,35,150,0.2,56.0
6,0.2666666666666666,35,150,0.2,56.0
7,0.8241758241758241,35,150,0.2,56.0
8,0.1935483870967742,35,150,0.2,56.0
9,0.0757575757575757,35,150,0.2,56.0
0,0.6875,40,150,0.2,56.0
1,0.8588235294117647,40,150,0.2,56.0
2,0.6507936507936508,40,150,0.2,56.0
3,0.4795918367346938,40,150,0.2,56.0
4,0.8736842105263158,40,150,0.2,56.0
5,0.5353535353535354,40,150,0.2,56.0
6,0.28,40,150,0.2,56.0
7,0.8571428571428571,40,150,0.2,56.0
8,0.2096774193548387,40,150,0.2,56.0
9,0.0606060606060606,40,150,0.2,56.0
0,0.65625,45,150,0.2,56.0
1,0.9254901960784314,45,150,0.2,56.0
2,0.5873015873015873,45,150,0.2,56.0
3,0.4591836734693877,45,150,0.2,56.0
4,0.8947368421052632,45,150,0.2,56.0
5,0.5151515151515151,45,150,0.2,56.0
6,0.2933333333333333,45,150,0.2,56.0
7,0.6923076923076923,45,150,0.2,56.0
8,0.1935483870967742,45,150,0.2,56.0
9,0.1515151515151515,45,150,0.2,56.0
0,0.671875,50,150,0.2,56.0
1,0.9176470588235294,50,150,0.2,56.0
2,0.626984126984127,50,150,0.2,56.0
3,0.5204081632653061,50,150,0.2,56.0
4,0.8842105263157894,50,150,0.2,56.0
5,0.5252525252525253,50,150,0.2,56.0
6,0.3066666666666666,50,150,0.2,56.0
7,0.8021978021978022,50,150,0.2,56.0
8,0.2580645161290322,50,150,0.2,56.0
